ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
1,1,E07000223,1,58.37,125.59,26.36,179.73
327,1,E07000223,2,72.5,149.4,26.36,190.57
653,1,E07000223,3,82.85,164.58,26.36,207.89
979,1,E07000223,4,91.33,181.9,26.36,226.27
1305,3,E07000223,1,52.73,118.01,26.36,162.4
