ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
1,1,E07000223,1,58.37,125.59,26.36,179.73
327,1,E07000223,2,72.5,149.4,26.36,190.57
653,1,E07000223,3,82.85,164.58,26.36,207.89
979,1,E07000223,4,91.33,181.9,26.36,226.27
1305,3,E07000223,1,52.73,118.01,26.36,162.4
1631,3,E07000223,2,64.02,132.09,26.36,148.32
1957,3,E07000223,3,69.67,152.66,26.36,189.47
2283,3,E07000223,4,74.38,188.39,26.36,198.13
2609,2,E07000223,0,60.94,262.84,18.28,337.61
2935,4,E07000223,0,47.75,191.6,18.28,200.92
3261,6,E07000223,0,60.94,482.48,18.28,525.71
3587,8,E07000223,0,47.75,482.48,18.28,525.71
3983,5,E07000223,1,58.37,133.17,26.36,146.16
4050,7,E07000223,1,52.73,133.17,26.36,146.16
4598,5,E07000223,2,72.5,185.14,26.36,202.47
4745,7,E07000223,2,64.02,185.14,26.36,202.47
5250,5,E07000223,3,82.85,230.6,26.36,251.18
5350,7,E07000223,3,69.67,230.6,26.36,251.18
5935,5,E07000223,4,91.33,435.25,26.36,475.3
6039,7,E07000223,4,74.38,435.25,26.36,475.3
6521,9,E07000223,1,58.37,166.46,26.36,182.7
6847,9,E07000223,2,72.5,231.44,26.36,253.07
7173,9,E07000223,3,82.85,288.27,26.36,313.98
7499,9,E07000223,4,91.33,544.05,26.36,594.13
7825,10,E07000223,0,60.94,603.1,18.28,657.14
2,1,E07000026,1,52.73,95.28,26.36,119.09
328,1,E07000026,2,60.26,109.36,26.36,137.51
654,1,E07000026,3,66.84,122.33,26.36,148.32
980,1,E07000026,4,73.44,136.42,26.36,162.4
1306,3,E07000026,1,44.24,87.69,26.36,102.86
1632,3,E07000026,2,54.61,96.38,26.36,115.84
1958,3,E07000026,3,59.31,107.19,26.36,126.67
2284,3,E07000026,4,56.49,121.26,26.36,136.42
2610,2,E07000026,0,54.87,234.82,18.28,335.27
2936,4,E07000026,0,32.51,460.29,18.28,587.63
3262,6,E07000026,0,54.87,205.6,18.28,224.3
3588,8,E07000026,0,32.51,205.6,18.28,224.3
4351,5,E07000026,1,52.73,88.78,26.36,96.38
4463,7,E07000026,1,44.24,88.78,26.36,96.38
4921,5,E07000026,2,60.26,111.51,26.36,121.26
5059,7,E07000026,2,54.61,111.51,26.36,121.26
5564,5,E07000026,3,66.84,137.51,26.36,150.49
5739,7,E07000026,3,59.31,137.51,26.36,150.49
6312,5,E07000026,4,73.44,190.57,26.36,207.89
6363,7,E07000026,4,56.49,190.57,26.36,207.89
6522,9,E07000026,1,52.73,110.99,26.36,120.45
6848,9,E07000026,2,60.26,139.4,26.36,151.58
7174,9,E07000026,3,66.84,171.88,26.36,188.11
7500,9,E07000026,4,73.44,238.2,26.36,259.86
7826,10,E07000026,0,54.87,257,18.28,280.39
3,1,E07000032,1,52.73,101.78,26.36,124.5
329,1,E07000032,2,63.08,116.93,26.36,132.09
655,1,E07000032,3,69.67,128.85,26.36,140.75
981,1,E07000032,4,77.2,161.31,26.36,169.99
1307,3,E07000032,1,47.07,92.04,26.36,109.36
1633,3,E07000032,2,53.67,98.53,26.36,110.43
1959,3,E07000032,3,59.31,106.11,26.36,121.26
2285,3,E07000032,4,64.96,124.5,26.36,124.5
2611,2,E07000032,0,50.8,235.98,18.28,353.98
2937,4,E07000032,0,48.76,112.14,18.28,121.5
3263,6,E07000032,0,50.8,205.6,18.28,224.3
3589,8,E07000032,0,48.76,205.6,18.28,224.3
4311,5,E07000032,1,52.73,98.53,26.36,107.19
4411,7,E07000032,1,47.07,98.53,26.36,107.19
5007,5,E07000032,2,63.08,115.84,26.36,125.59
5147,7,E07000032,2,53.67,115.84,26.36,125.59
5650,5,E07000032,3,69.67,137.51,26.36,150.49
5808,7,E07000032,3,59.31,137.51,26.36,150.49
6225,5,E07000032,4,77.2,190.57,26.36,207.89
6469,7,E07000032,4,64.96,190.57,26.36,207.89
6523,9,E07000032,1,52.73,123.18,26.36,133.99
6849,9,E07000032,2,63.08,144.82,26.36,156.98
7175,9,E07000032,3,69.67,171.88,26.36,188.11
7501,9,E07000032,4,77.2,238.2,26.36,259.86
7827,10,E07000032,0,50.8,257,18.28,280.39
4,1,E07000224,1,58.37,125.59,26.36,179.73
330,1,E07000224,2,72.5,149.4,26.36,190.57
656,1,E07000224,3,82.85,164.58,26.36,207.89
982,1,E07000224,4,91.33,181.9,26.36,226.27
1308,3,E07000224,1,52.73,118.01,26.36,162.4
1634,3,E07000224,2,64.02,132.09,26.36,148.32
1960,3,E07000224,3,69.67,152.66,26.36,189.47
2286,3,E07000224,4,74.38,188.39,26.36,198.13
2612,2,E07000224,0,60.94,262.84,18.28,337.61
2938,4,E07000224,0,47.75,191.6,18.28,200.92
3264,6,E07000224,0,60.94,371.49,18.28,405.38
3590,8,E07000224,0,47.75,371.49,18.28,405.38
3984,5,E07000224,1,58.37,127.76,26.36,139.67
4051,7,E07000224,1,52.73,127.76,26.36,139.67
4599,5,E07000224,2,72.5,174.32,26.36,189.47
4746,7,E07000224,2,64.02,174.32,26.36,189.47
5251,5,E07000224,3,82.85,213.3,26.36,232.77
5351,7,E07000224,3,69.67,213.3,26.36,232.77
5936,5,E07000224,4,91.33,344.29,26.36,375.7
6040,7,E07000224,4,74.38,344.29,26.36,375.7
6524,9,E07000224,1,58.37,159.69,26.36,174.59
6850,9,E07000224,2,72.5,217.91,26.36,236.86
7176,9,E07000224,3,82.85,266.62,26.36,290.98
7502,9,E07000224,4,91.33,430.36,26.36,469.61
7828,10,E07000224,0,60.94,464.37,18.28,506.74
5,1,E07000170,1,52.73,101.78,26.36,124.5
331,1,E07000170,2,63.08,116.93,26.36,132.09
657,1,E07000170,3,69.67,128.85,26.36,140.75
983,1,E07000170,4,77.2,161.31,26.36,169.99
1309,3,E07000170,1,47.07,92.04,26.36,109.36
1635,3,E07000170,2,53.67,98.53,26.36,110.43
1961,3,E07000170,3,59.31,106.11,26.36,121.26
2287,3,E07000170,4,64.96,124.5,26.36,124.5
2613,2,E07000170,0,50.8,235.98,18.28,353.98
2939,4,E07000170,0,48.76,112.14,18.28,121.5
3265,6,E07000170,0,50.8,196.26,18.28,212.61
3591,8,E07000170,0,48.76,196.26,18.28,212.61
4312,5,E07000170,1,52.73,88.78,26.36,96.38
4412,7,E07000170,1,47.07,88.78,26.36,96.38
5008,5,E07000170,2,63.08,111.51,26.36,121.26
5148,7,E07000170,2,53.67,111.51,26.36,121.26
5651,5,E07000170,3,69.67,127.76,26.36,139.67
5809,7,E07000170,3,59.31,127.76,26.36,139.67
6226,5,E07000170,4,77.2,181.9,26.36,197.05
6470,7,E07000170,4,64.96,181.9,26.36,197.05
6525,9,E07000170,1,52.73,110.99,26.36,120.45
6851,9,E07000170,2,63.08,139.4,26.36,151.58
7177,9,E07000170,3,69.67,159.69,26.36,174.59
7503,9,E07000170,4,77.2,227.37,26.36,246.31
7829,10,E07000170,0,50.8,245.32,18.28,265.77
6,1,E07000105,1,58.37,125.59,26.36,179.73
332,1,E07000105,2,72.5,149.4,26.36,190.57
658,1,E07000105,3,82.85,164.58,26.36,207.89
984,1,E07000105,4,91.33,181.9,26.36,226.27
1310,3,E07000105,1,52.73,118.01,26.36,162.4
1636,3,E07000105,2,64.02,132.09,26.36,148.32
1962,3,E07000105,3,69.67,152.66,26.36,189.47
2288,3,E07000105,4,74.38,188.39,26.36,198.13
2614,2,E07000105,0,60.94,262.84,18.28,337.61
2940,4,E07000105,0,47.75,191.6,18.28,200.92
3266,6,E07000105,0,60.94,303.73,18.28,331.78
3592,8,E07000105,0,47.75,303.73,18.28,331.78
3985,5,E07000105,1,58.37,127.76,26.36,139.67
4052,7,E07000105,1,52.73,127.76,26.36,139.67
4600,5,E07000105,2,72.5,156.98,26.36,171.07
4747,7,E07000105,2,64.02,156.98,26.36,171.07
5252,5,E07000105,3,82.85,190.57,26.36,207.89
5352,7,E07000105,3,69.67,190.57,26.36,207.89
5937,5,E07000105,4,91.33,281.51,26.36,307.48
6041,7,E07000105,4,74.38,281.51,26.36,307.48
6526,9,E07000105,1,58.37,159.69,26.36,174.59
6852,9,E07000105,2,72.5,196.23,26.36,213.83
7178,9,E07000105,3,82.85,238.2,26.36,259.86
7504,9,E07000105,4,91.33,351.89,26.36,384.37
7830,10,E07000105,0,60.94,379.68,18.28,414.72
8,1,E07000200,1,55.55,121.26,26.36,151.58
334,1,E07000200,2,65.9,145.07,26.36,171.07
660,1,E07000200,3,72.5,159.15,26.36,184.06
986,1,E07000200,4,82.85,174.32,26.36,181.9
1312,3,E07000200,1,50.85,101.78,26.36,134.25
1638,3,E07000200,2,59.31,120.17,26.36,135.33
1964,3,E07000200,3,64.96,133.17,26.36,146.16
2290,3,E07000200,4,72.5,151.58,26.36,162.4
2616,2,E07000200,0,35.55,221.96,18.28,414.72
2942,4,E07000200,0,54.87,133.18,18.28,311.92
3268,6,E07000200,0,35.55,348.13,18.28,379.67
3594,8,E07000200,0,54.87,348.13,18.28,379.67
