ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
5937,5,E07000105,4,89.52,275.9,25.84,301.37
3266,6,E07000105,0,62.17,309.83,18.64,338.45
4052,7,E07000105,1,51.68,125.22,25.84,136.89
4747,7,E07000105,2,62.75,153.86,25.84,167.67
5352,7,E07000105,3,68.28,186.77,25.84,203.75
6041,7,E07000105,4,72.9,275.9,25.84,301.37
3592,8,E07000105,0,48.71,309.83,18.64,338.45
6526,9,E07000105,1,57.21,156.51,25.84,171.11
6852,9,E07000105,2,71.06,192.33,25.84,209.57
7178,9,E07000105,3,81.2,233.46,25.84,254.69
7504,9,E07000105,4,89.52,344.89,25.84,376.72
7830,10,E07000105,0,62.17,408.19,18.64,445.42
8,1,E07000200,1,54.44,118.85,25.84,148.56
334,1,E07000200,2,64.59,142.18,25.84,167.67
660,1,E07000200,3,71.06,155.98,25.84,180.4
986,1,E07000200,4,81.2,170.85,25.84,178.28
2616,2,E07000200,0,36.26,226.42,18.64,423.05
1312,3,E07000200,1,49.84,99.75,25.84,131.58
1638,3,E07000200,2,58.13,117.78,25.84,132.64
1964,3,E07000200,3,63.67,130.52,25.84,143.25
2290,3,E07000200,4,71.06,148.56,25.84,159.17
2942,4,E07000200,0,55.97,135.86,18.64,318.19
4117,5,E07000200,1,54.44,114.6,25.84,124.15
4698,5,E07000200,2,64.59,142.18,25.84,154.93
5417,5,E07000200,3,71.06,170.85,25.84,185.7
6127,5,E07000200,4,81.2,316.23,25.84,344.88
3268,6,E07000200,0,36.26,355.12,18.64,387.3
4234,7,E07000200,1,49.84,114.6,25.84,124.15
4960,7,E07000200,2,58.13,142.18,25.84,154.93
5603,7,E07000200,3,63.67,170.85,25.84,185.7
6265,7,E07000200,4,71.06,316.23,25.84,344.88
3594,8,E07000200,0,55.97,355.12,18.64,387.3
6528,9,E07000200,1,54.44,143.25,25.84,155.2
6854,9,E07000200,2,64.59,177.73,25.84,193.64
