ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
1,1,E07000223,1,57.21,132.57,25.84,1000
327,1,E07000223,2,71.06,157.71,25.84,1000
653,1,E07000223,3,81.2,173.72,18.64,2000
979,1,E07000223,4,89.52,192.01,25.84,1000
2609,2,E07000223,0,62.17,288.78,25.84,1000
1305,3,E07000223,1,51.68,124.57,25.84,1000
1631,3,E07000223,2,62.75,139.43,25.84,1000
1957,3,E07000223,3,68.28,161.14,25.84,1000
2283,3,E07000223,4,72.9,198.86,18.64,2000
2935,4,E07000223,0,48.71,210.5,25.84,1000
3983,5,E07000223,1,57.21,134.57,25.84,1000
4598,5,E07000223,2,71.06,187.09,25.84,2000
5250,5,E07000223,3,81.2,233.02,25.84,1000
5935,5,E07000223,4,89.52,439.81,25.84,2000
3261,6,E07000223,0,62.17,507.44,25.84,2000
4050,7,E07000223,1,51.68,134.57,25.84,1000
4745,7,E07000223,2,62.75,187.09,25.84,1000
5350,7,E07000223,3,68.28,233.02,25.84,1000
6039,7,E07000223,4,72.9,439.81,25.84,1000
3587,8,E07000223,0,48.71,507.44,25.84,1000
6521,9,E07000223,1,57.21,193.91,25.84,1000
6847,9,E07000223,2,71.06,269.6,25.84,1000
7173,9,E07000223,3,81.2,335.78,18.64,2000
7499,9,E07000223,4,89.52,633.78,25.84,1000
7825,10,E07000223,0,62.17,731.22,25.84,1000
8251,11,E07000223,1,57.21,193.91,25.84,2000
8252,11,E07000223,2,71.06,269.6,25.84,2000
8253,11,E07000223,3,81.2,335.78,25.84,2000
8254,11,E07000223,4,89.52,633.78,25.84,2000
8255,12,E07000223,0,62.17,731.22,18.64,2000
3,1,E07000032,1,51.68,373.58,25.84,1000
329,1,E07000032,2,61.83,373.58,25.84,1000
655,1,E07000032,3,68.28,177.86,25.84,1000
981,1,E07000032,4,75.67,177.86,25.84,1000
2611,2,E07000032,0,51.82,220.66,25.84,1000
1307,3,E07000032,1,46.13,220.66,18.64,2000
1633,3,E07000032,2,52.6,265.16,25.84,1000
1959,3,E07000032,3,58.13,265.16,25.84,1000
2285,3,E07000032,4,63.67,332.66,25.84,2000
2937,4,E07000032,0,49.74,332.66,18.64,2000
4311,5,E07000032,1,51.68,138.75,25.84,2000
5007,5,E07000032,2,61.83,159.25,18.64,2000
5650,5,E07000032,3,68.28,178.14,25.84,2000
6225,5,E07000032,4,75.67,198.64,18.64,2000
3263,6,E07000032,0,51.82,127.67,25.84,2000
4411,7,E07000032,1,46.13,140.36,25.84,1000
5147,7,E07000032,2,52.6,156.09,25.84,1000
5808,7,E07000032,3,58.13,176.58,25.84,1000
6469,7,E07000032,4,63.67,355.87,25.84,1000
3589,8,E07000032,0,49.74,697.57,25.84,1000
6523,9,E07000032,1,51.68,143.46,25.84,1000
6849,9,E07000032,2,61.83,168.66,25.84,1000
7175,9,E07000032,3,68.28,200.23,25.84,1000
7501,9,E07000032,4,75.67,277.48,25.84,1000
7827,10,E07000032,0,51.82,311.59,18.64,2000
8256,11,E07000032,1,51.68,143.46,25.84,2000
8257,11,E07000032,2,61.83,168.66,25.84,2000
8258,11,E07000032,3,68.28,200.23,25.84,2000
8259,11,E07000032,4,75.67,277.48,25.84,2000
8260,12,E07000032,0,51.82,311.59,18.64,2000
4,1,E07000224,1,57.21,141.65,25.84,1000
330,1,E07000224,2,71.06,167.98,18.64,2000
656,1,E07000224,3,81.2,186.08,25.84,1000
982,1,E07000224,4,89.52,223.96,25.84,1000
2612,2,E07000224,0,62.17,126.81,25.84,1000
1308,3,E07000224,1,51.68,174.55,25.84,2000
1634,3,E07000224,2,62.75,161.4,25.84,1000
1960,3,E07000224,3,68.28,187.74,18.64,2000
2286,3,E07000224,4,72.9,364.33,25.84,2000
2938,4,E07000224,0,48.71,249.68,25.84,1000
3984,5,E07000224,1,57.21,619.68,18.64,2000
4599,5,E07000224,2,71.06,619.68,25.84,2000
5251,5,E07000224,3,81.2,186.03,25.84,1000
5936,5,E07000224,4,89.52,186.03,25.84,2000
3264,6,E07000224,0,62.17,233.3,25.84,2000
4051,7,E07000224,1,51.68,233.3,25.84,1000
4746,7,E07000224,2,62.75,285.36,18.64,2000
5351,7,E07000224,3,68.28,285.36,25.84,1000
6040,7,E07000224,4,72.9,551.79,25.84,1000
3590,8,E07000224,0,48.71,551.79,18.64,2000
6524,9,E07000224,1,57.21,186.03,25.84,1000
6850,9,E07000224,2,71.06,253.83,18.64,2000
7176,9,E07000224,3,81.2,310.6,25.84,1000
7502,9,E07000224,4,89.52,501.32,25.84,1000
7828,10,E07000224,0,62.17,563,25.84,1000
8261,11,E07000224,1,57.21,186.03,25.84,2000
8262,11,E07000224,2,71.06,253.83,25.84,2000
8263,11,E07000224,3,81.2,310.6,25.84,2000
8264,11,E07000224,4,89.52,501.32,25.84,2000
8265,12,E07000224,0,62.17,563,18.64,2000
5,1,E07000170,1,51.68,471.63,25.84,1000
331,1,E07000170,2,61.83,471.63,25.84,2000
657,1,E07000170,3,68.28,176.19,25.84,1000
983,1,E07000170,4,75.67,176.19,18.64,2000
2613,2,E07000170,0,51.82,212.45,18.64,2000
1309,3,E07000170,1,46.13,212.45,25.84,2000
