ranges_rent_id,lettype,la,beds,soft_min,soft_max,hard_min,hard_max
1,1,E07000223,1,57.79,124.33,26.1,1000
327,1,E07000223,2,71.78,147.91,26.1,1000
653,1,E07000223,3,82.02,162.93,26.1,1000
979,1,E07000223,4,90.42,180.08,26.1,1000
1305,3,E07000223,1,52.2,116.83,26.1,1000
1631,3,E07000223,2,63.38,130.77,26.1,1000
1957,3,E07000223,3,68.97,151.13,26.1,1000
2283,3,E07000223,4,73.64,186.51,26.1,1000
2609,2,E07000223,0,61.49,265.21,18.44,2000
2935,4,E07000223,0,48.18,193.32,18.44,2000
3261,6,E07000223,0,61.49,486.82,18.44,2000
3587,8,E07000223,0,48.18,486.82,18.44,2000
3983,5,E07000223,1,57.79,131.84,26.1,1000
4050,7,E07000223,1,52.2,131.84,26.1,1000
4598,5,E07000223,2,71.78,183.29,26.1,1000
4745,7,E07000223,2,63.38,183.29,26.1,1000
5250,5,E07000223,3,82.02,228.29,26.1,1000
5350,7,E07000223,3,68.97,228.29,26.1,1000
5935,5,E07000223,4,90.42,430.9,26.1,1000
6039,7,E07000223,4,73.64,430.9,26.1,1000
6521,9,E07000223,1,57.79,164.8,26.1,2000
6847,9,E07000223,2,71.78,229.13,26.1,2000
7173,9,E07000223,3,82.02,285.39,26.1,2000
7499,9,E07000223,4,90.42,538.61,26.1,2000
7825,10,E07000223,0,61.49,608.53,18.44,2000
2,1,E07000026,1,52.2,94.33,26.1,1000
328,1,E07000026,2,59.66,108.27,26.1,1000
654,1,E07000026,3,66.17,121.11,26.1,1000
980,1,E07000026,4,72.71,135.06,26.1,1000
1306,3,E07000026,1,43.8,86.81,26.1,1000
1632,3,E07000026,2,54.06,95.42,26.1,1000
1958,3,E07000026,3,58.72,106.12,26.1,1000
2284,3,E07000026,4,55.93,120.05,26.1,1000
2610,2,E07000026,0,55.36,236.93,18.44,2000
2936,4,E07000026,0,32.8,464.43,18.44,2000
3262,6,E07000026,0,55.36,207.45,18.44,2000
3588,8,E07000026,0,32.8,207.45,18.44,2000
4351,5,E07000026,1,52.2,87.89,26.1,1000
4463,7,E07000026,1,43.8,87.89,26.1,1000
4921,5,E07000026,2,59.66,110.39,26.1,1000
5059,7,E07000026,2,54.06,110.39,26.1,1000
5564,5,E07000026,3,66.17,136.13,26.1,1000
5739,7,E07000026,3,58.72,136.13,26.1,1000
6312,5,E07000026,4,72.71,188.66,26.1,1000
6363,7,E07000026,4,55.93,188.66,26.1,1000
6522,9,E07000026,1,52.2,109.88,26.1,2000
6848,9,E07000026,2,59.66,138.01,26.1,2000
7174,9,E07000026,3,66.17,170.16,26.1,2000
7500,9,E07000026,4,72.71,235.82,26.1,2000
7826,10,E07000026,0,55.36,259.31,18.44,2000
3,1,E07000032,1,52.2,100.76,26.1,1000
329,1,E07000032,2,62.45,115.76,26.1,1000
655,1,E07000032,3,68.97,127.56,26.1,1000
981,1,E07000032,4,76.43,159.7,26.1,1000
1307,3,E07000032,1,46.6,91.12,26.1,1000
1633,3,E07000032,2,53.13,97.54,26.1,1000
1959,3,E07000032,3,58.72,105.05,26.1,1000
2285,3,E07000032,4,64.31,123.26,26.1,1000
2611,2,E07000032,0,51.26,238.1,18.44,2000
2937,4,E07000032,0,49.2,113.15,18.44,2000
3263,6,E07000032,0,51.26,207.45,18.44,2000
3589,8,E07000032,0,49.2,207.45,18.44,2000
4311,5,E07000032,1,52.2,97.54,26.1,1000
4411,7,E07000032,1,46.6,97.54,26.1,1000
5007,5,E07000032,2,62.45,114.68,26.1,1000
5147,7,E07000032,2,53.13,114.68,26.1,1000
5650,5,E07000032,3,68.97,136.13,26.1,1000
5808,7,E07000032,3,58.72,136.13,26.1,1000
6225,5,E07000032,4,76.43,188.66,26.1,1000
6469,7,E07000032,4,64.31,188.66,26.1,1000
6523,9,E07000032,1,52.2,121.95,26.1,2000
6849,9,E07000032,2,62.45,143.37,26.1,2000
7175,9,E07000032,3,68.97,170.16,26.1,2000
7501,9,E07000032,4,76.43,235.82,26.1,2000
7827,10,E07000032,0,51.26,259.31,18.44,2000
4,1,E07000224,1,57.79,124.33,26.1,1000
330,1,E07000224,2,71.78,147.91,26.1,1000
656,1,E07000224,3,82.02,162.93,26.1,1000
982,1,E07000224,4,90.42,180.08,26.1,1000
1308,3,E07000224,1,52.2,116.83,26.1,1000
1634,3,E07000224,2,63.38,130.77,26.1,1000
1960,3,E07000224,3,68.97,151.13,26.1,1000
2286,3,E07000224,4,73.64,186.51,26.1,1000
2612,2,E07000224,0,61.49,265.21,18.44,2000
2938,4,E07000224,0,48.18,193.32,18.44,2000
3264,6,E07000224,0,61.49,374.83,18.44,2000
3590,8,E07000224,0,48.18,374.83,18.44,2000
3984,5,E07000224,1,57.79,126.48,26.1,1000
4051,7,E07000224,1,52.2,126.48,26.1,1000
4599,5,E07000224,2,71.78,172.58,26.1,1000
4746,7,E07000224,2,63.38,172.58,26.1,1000
5251,5,E07000224,3,82.02,211.17,26.1,1000
5351,7,E07000224,3,68.97,211.17,26.1,1000
5936,5,E07000224,4,90.42,340.85,26.1,1000
6040,7,E07000224,4,73.64,340.85,26.1,1000
6524,9,E07000224,1,57.79,158.09,26.1,2000
6850,9,E07000224,2,71.78,215.73,26.1,2000
7176,9,E07000224,3,82.02,263.95,26.1,2000
7502,9,E07000224,4,90.42,426.06,26.1,2000
7828,10,E07000224,0,61.49,468.55,18.44,2000
5,1,E07000170,1,52.2,100.76,26.1,1000
331,1,E07000170,2,62.45,115.76,26.1,1000
657,1,E07000170,3,68.97,127.56,26.1,1000
983,1,E07000170,4,76.43,159.7,26.1,1000
1309,3,E07000170,1,46.6,91.12,26.1,1000
1635,3,E07000170,2,53.13,97.54,26.1,1000
1961,3,E07000170,3,58.72,105.05,26.1,1000
2287,3,E07000170,4,64.31,123.26,26.1,1000
2613,2,E07000170,0,51.26,238.1,18.44,2000
2939,4,E07000170,0,49.2,113.15,18.44,2000
3265,6,E07000170,0,51.26,198.03,18.44,2000
3591,8,E07000170,0,49.2,198.03,18.44,2000
4312,5,E07000170,1,52.2,87.89,26.1,1000
4412,7,E07000170,1,46.6,87.89,26.1,1000
5008,5,E07000170,2,62.45,110.39,26.1,1000
5148,7,E07000170,2,53.13,110.39,26.1,1000
5651,5,E07000170,3,68.97,126.48,26.1,1000
5809,7,E07000170,3,58.72,126.48,26.1,1000
6226,5,E07000170,4,76.43,180.08,26.1,1000
6470,7,E07000170,4,64.31,180.08,26.1,1000
